ticker,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_41,alpha_52,alpha_53,alpha_54,price_change
HON,2.8348017621145374,0.20287562077512716,0.08740661625971183,-4.8796680497925315,-12797.654166666667,0.10423370874454155,2.965475923270612,2.85003662109375,-1.7191438700574917,-0.511709171023495,2.7389400044897525
NEE,2.905286343612335,0.20953952867654915,0.1613109989859084,-5.319502074688796,-11747.579166666666,0.15786561288214224,1.6670774557683161,-0.9900054931640625,-1.2355802741741133,-0.494893703320402,-0.16574939807744707
DHR,2.8053097345132745,0.060157090220680214,0.1146722842330245,-4.800829875518672,-13047.5125,0.11606220140973407,-0.32108588858966913,6.6223297119140625,-12.604260691780997,-0.5045684421009247,2.6448643570256154
SBUX,3.0353982300884956,0.014411895809744037,0.029017664238513412,-5.54356846473029,-12191.825,0.010553554013296669,9.225316800553204,-9.779983520507812,-12.522392443481154,-0.5121310583798252,3.0265475109737197
UPS,3.0859030837004404,0.0720025122257135,0.13509738790449916,-5.273858921161826,-12748.854166666666,0.09066376465585001,-0.1566152908733981,14.370025634765625,0.12050613303641144,-0.5377087917771848,2.0288030704283844
BA,3.0486725663716814,0.00042745527490137936,0.049879187234096886,-5.609958506224066,-12023.945833333333,0.04447913590694205,17.224354002074502,12.92999267578125,-0.1876908685838291,-0.5113207798224373,-1.1433739804851395
LLY,3.1299559471365637,0.0318709925579915,0.12488331550519877,-5.356846473029045,-12717.866666666667,0.09820449848050426,15.82469135138951,-52.28997802734375,0.15664544353654763,-0.5127824078030547,0.7929165291851158
AMD,2.8876651982378854,-0.08819321106704572,-0.1026934402820951,-5.1203319502074685,-11114.6625,-0.11659665029489805,-6.431577482894963,12.569984436035156,-1.7282615741250718,-0.4757814956311558,-5.9698411994481715
MCD,3.0198237885462555,0.03686903340007354,0.20857943219279668,-5.228215767634855,-12352.65,0.2075142001940548,7.47648146485995,-23.78997802734375,0.11506890233358957,-0.5025650093470987,2.5125114220462352
MMM,2.9757709251101323,0.030067133008112933,0.05681329274606644,-4.539419087136929,-12259.304166666667,0.06639750322101676,-7.8159217776473975,6.672248840332031,30.110076339923857,-0.4928138324403824,3.4157275594358953
GS,2.938053097345133,0.088745235760483,0.08124178039998226,-5.045643153526971,-13032.745833333332,0.08025129736197373,12.2981702698667,9.150054931640625,-1.3996775479176784,-0.5150095649195842,2.7541889593717825
CAT,3.111353711790393,0.055575996960971596,0.10546934783479832,-5.265560165975104,-12952.370833333332,0.10222880015150598,6.770371409595648,59.75999450683594,16.41719555184246,-0.5261828082500267,4.486613568279842
FDX,2.9801762114537445,0.010350871134566978,0.0698081127053521,-5.410788381742739,-11902.279166666667,0.05090605671485912,-2.0302871960227185,-1.559967041015625,2.706390481038469,-0.49969231836147887,-1.0319513500272564
CVS,2.843612334801762,0.07225392806725925,0.1761115638239632,-4.514522821576763,-11466.6,0.17000124087662918,-3.4736246774678565,-2.2800064086914062,-1.486282940210737,-0.4595258533460848,0.1315077234575284
TGT,3.01528384279476,-0.02973437982533432,0.037625647474268664,-4.875518672199171,-12201.070833333333,0.04002977024628073,-9.469164133494887,13.950027465820312,-0.17452148527144384,-0.4978946973273215,-3.9053290553346893
BKNG,2.995614035087719,0.1060365768847824,0.04878576433141369,-5.564315352697095,-12404.683333333332,0.0863810396377618,48.81361968460978,234.0,-8.317442754283736,-0.5050774110788099,4.824353078180667
