Date,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha12,alpha13,alpha14,alpha15,alpha54,alphaExt1,alphaExt2,alphaExt3,alphaExt4
2023-03-28 00:00:00-04:00,3.5,0.3663167484214546,0.5000581225335546,-7.0,-190854.0,0.7299272465833957,-0.877288818359375,-60.0,240.8759913725206,-4.0,-0.6836139367834031,1.0783905352166063,1.0276981340531666,1.023219137276176,0.7787233717898105
2023-03-29 00:00:00-04:00,4.5,0.1392728074480251,0.4899488715771688,-9.0,-115804.0,0.6163967248457567,-5.66796875,-81.0,81.98076440448564,-5.0,-0.8983221397083023,1.048515377926748,0.9996863007857708,1.0134223359341965,0.8393839578763426
2023-03-30 00:00:00-04:00,4.5,-0.0937587953702279,0.5216629123511082,-9.0,-134160.0,0.5117808571013329,2.316436767578125,-197.0,158.14028484431188,-6.0,-0.7526616870765904,1.076235818798857,1.0015723150458815,0.9976578903492878,0.8193832491775295
2023-03-31 00:00:00-04:00,4.5,-0.6967676114965247,0.2009624245017164,-9.0,-19760.0,0.1634855288712743,-5.608795166015625,-492.0,67.84649448157887,-7.0,-0.8867550303996103,1.0911860608437447,0.9987558295018456,0.9850918421042386,0.7900552486187845
2023-04-03 00:00:00-04:00,4.5,-0.7541297998530434,0.3655140322293405,-9.0,-132804.0,0.3602015228779548,1.537689208984375,-483.0,101.57682945158328,-5.0,-0.8349951076240227,1.098759792914178,0.9965848291317662,0.9681459277256425,0.7900113471008257
2023-04-04 00:00:00-04:00,3.5,-0.7691401167563703,0.4667534010523285,-8.0,-122094.0,0.461154044684441,-2.247406005859375,-413.0,64.56156625582175,-4.0,-0.3167477447181887,1.0956382071879542,0.9952993151982908,0.9763233162649588,0.7692307954014057
2023-04-05 00:00:00-04:00,2.5,-0.7922331223014649,0.529585305293122,-7.0,-105324.0,0.5012217578706228,-1.054779052734375,-443.0,37.09041008242609,-5.0,-0.6122508412025264,1.1195438961269693,1.0072167265639276,0.966063434300056,0.7317620433762341
2023-04-06 00:00:00-04:00,1.5,-0.7204535702243408,0.4474941084566105,-6.0,-78551.0,0.4177927156413649,1.567291259765625,-411.0,111.9684477918858,-6.0,-0.896689497033826,1.1196080873543068,1.0253204493162889,0.9760336768371968,0.7154285539899553
2023-04-10 00:00:00-04:00,0.5,-0.8388165392451384,0.1253101479655079,-7.0,-54672.0,0.1026356406179172,0.41400146484375,-344.0,44.95441059064776,-6.0,-0.9431785820414096,1.1137661434999802,1.017779183917529,0.9802143823547188,0.7078521976577054
2023-04-11 00:00:00-04:00,4.5,-0.7488869719988355,0.1922977537982267,-9.0,-46830.0,0.1748338854847684,0.108428955078125,-288.0,41.960132516344416,-4.0,-0.3563190257656015,1.1240599419257875,1.0216450964841577,0.9687779762048188,0.6705471181716809
2023-04-12 00:00:00-04:00,3.5,-0.0118383034157342,0.2147817621758514,-7.0,-25715.0,0.2574440697972271,1.646148681640625,-160.0,14.674311978441946,-5.0,-0.1351111477638301,1.1135944992947076,1.027889587049308,0.9646803703336976,0.6744186046511628
2023-04-13 00:00:00-04:00,4.5,0.0392546224871209,0.0768811932437188,-7.0,-29032.0,0.2215160443984108,5.3426513671875,-401.0,68.22694167471055,-6.0,-0.8891540977883993,1.1050978617309044,1.0178132155527806,0.9584253971055802,0.6787003918350604
2023-04-14 00:00:00-04:00,3.5,-0.0171671564951317,0.0316777076771767,-9.0,-42240.0,0.240289935732344,-0.99560546875,-407.0,62.71567322614178,-6.0,-0.4791639633627075,1.1167843427815716,1.0082117110462994,0.969160954611854,0.696821489895716
2023-04-17 00:00:00-04:00,4.5,0.0589764615949398,-0.4003893478872308,-9.0,-42560.0,-0.3967247240052007,1.458892822265625,-237.0,-168.6080077022103,-5.0,-0.9743453813123883,1.1369393734272917,0.9963921130075142,0.97344924307943,0.7194968649426347
2023-04-18 00:00:00-04:00,4.5,-0.0842524569545504,-0.1849078937649473,-9.0,-43460.0,-0.1571813647239516,0.26611328125,-76.0,-9.902425977608956,-6.0,-0.4944887238260609,1.1403274572191628,0.9994005074562976,0.985098159635316,0.7220812096733747
2023-04-19 00:00:00-04:00,3.5,0.0336251029315339,-0.0985341332603685,-8.0,-37360.0,-0.0676569383982946,-0.069000244140625,-211.0,-23.67992843940312,-6.0,-0.6625163781005657,1.1554080661535429,0.9931219226292926,0.9720044858957804,0.7026683784172079
2023-04-20 00:00:00-04:00,2.5,-0.4783050629628158,-0.065180938659181,-6.0,-27930.0,-0.0401805117040872,2.227691650390568,-157.0,-7.875380294001105,-5.0,-0.4655837845957111,1.1780221100696948,1.0092982323751072,0.9911545650898588,0.7077114483332952
2023-04-21 00:00:00-04:00,1.5,0.1757559324479009,0.0427314334993563,-5.0,-35496.0,0.0625779149881058,0.3153991699218181,-165.0,19.586887391277124,-4.0,-0.8086729453419106,1.1721034197295097,1.010836690544061,0.984437749612676,0.6920151764029117
2023-04-24 00:00:00-04:00,0.5,0.2331903893341206,0.3621007725735744,-6.0,-47318.0,0.3245142456323768,0.42388916015625,-173.0,59.386106950724965,-6.0,-0.8155073998462061,1.1693259846349895,1.005699421587438,0.9778703514962204,0.6963151380183699
2023-04-25 00:00:00-04:00,3.5,0.4177052231114448,0.6446159555853077,-1.0,-19116.0,0.584302366258608,6.456512451171875,-32.0,40.90116563810256,-6.0,-0.0123338928859824,1.1771496745105317,1.0220662231066826,0.9885598539743526,0.6305882173426011
2023-04-26 00:00:00-04:00,2.5,0.7313506544461931,0.5944441063053479,-1.0,-39078.0,0.5471172054864415,-1.695465087890625,-42.0,82.06758082296622,-6.0,-0.1470716472706076,1.1693732254921034,1.023792058417978,1.0096815760032565,0.6340579476450326
2023-04-27 00:00:00-04:00,1.5,0.6630203925451521,0.6594879711656462,-3.0,-24344.0,0.6241489198926471,-7.935089111328125,-61.0,257.1493549957706,-6.0,-0.8920564147590472,1.132653569328042,1.0032614459448144,1.0010829449120155,0.6707070830646509
2023-04-28 00:00:00-04:00,4.5,0.598915406689794,0.6668008024769877,-7.0,-31104.0,0.6037198391330316,3.469757080078125,-147.0,285.559483909924,-7.0,-0.945649539125631,1.112449260595014,0.9893454894051852,0.9869714259431844,0.6981529820362994
2023-05-01 00:00:00-04:00,3.5,0.3493361991511903,0.6969120367069881,-9.0,-78070.0,0.6448923777737071,-0.41400146484375,-56.0,228.93679410966604,-6.0,-0.1020870620266961,1.133697458358131,0.9999321608187648,0.9796532504176846,0.689185552473579
2023-05-02 00:00:00-04:00,2.5,0.4053147923797205,0.3436948605164325,-4.0,-18634.0,0.2394114162001789,4.60333251953125,-115.0,6.224696821204652,-4.0,-0.4524601815679712,1.1450596516094145,1.0206430795224126,0.980749135996175,0.6347381714670789
2023-05-03 00:00:00-04:00,1.5,0.4112102236992472,0.3084975470110656,-4.0,-45436.0,0.2098814006545311,-2.77972412109375,-54.0,7.555730423563122,-3.0,-0.0426886832666009,1.1568193953510475,1.050373978922044,0.9884669323027694,0.6315527969265576
2023-05-04 00:00:00-04:00,0.5,0.2573348001566386,0.386952111993614,-1.0,-41168.0,0.2933800176687901,2.8487548828125,-36.0,47.8209428800128,-5.0,-0.4025976899004098,1.1808606258397525,1.073256970150429,1.006619259176655,0.5907692090999446
2023-05-05 00:00:00-04:00,4.5,0.2493885898020309,0.3630968886489743,-7.0,-60028.0,0.2658758330401139,7.3929443359375,-34.0,124.1640140297332,-6.0,-0.7506611158731578,1.1495198844008123,1.0532665536164705,0.989459504736501,0.6348718007405599
2023-05-08 00:00:00-04:00,4.5,0.4291780745963084,0.4368934161833425,-7.0,-152604.0,0.3286761879378961,0.108428955078125,-47.0,120.62416097320788,-7.0,-0.7469747354133215,1.1430348801698555,1.0494687139120011,0.9910846371335504,0.6581486512483261
2023-05-09 00:00:00-04:00,3.5,0.3925234860070652,0.3916552884407324,-6.0,-109270.0,0.3090669798597243,-1.7841796875,-30.0,99.82863449469096,-7.0,-0.1718399321437379,1.148801322819717,1.0443425516271674,0.9897838408733745,0.6786717409770964
