t_buy,t_sell,RETURN
1.3063,1.2216,175637.8646850586
1.3326,1.2053,153033.77304077148
1.3363,1.1891,166912.0819091797
1.2969,1.1164,147459.88845825195
1.294,1.253,182733.37173461914
1.2813,1.2682,151094.61975097656
1.3215,1.1158,148161.26251220703
1.2853,1.234,328096.2944030762
1.3236,1.1232,154050.98114013672
1.3445,1.1832,174683.10546875
1.3014,1.1268,148161.26251220703
1.3074,1.1143,148024.88250732422
1.348,1.2086,138593.9697265625
1.3479,1.1081,158436.31210327148
1.3306,1.1889,180251.55792236328
1.3417,1.1334,158516.3314819336
1.2857,1.1794,183961.95449829102
1.3226,1.2496,145643.37158203125
1.3466,1.1771,176168.28384399414
1.2974,1.2169,187595.49026489258
1.3425,1.2786,140282.1990966797
1.3185,1.1085,271082.4768066406
1.3178,1.1015,270983.67919921875
1.3006,1.1594,158828.59420776367
1.2942,1.2735,173732.30514526367
1.3236,1.267,133641.86172485352
1.3253,1.2232,147161.1671447754
1.3329,1.1365,161563.26141357422
1.3348,1.1539,168462.17651367188
1.3129,1.2101,150267.48809814453
1.3469,1.2678,134424.06005859375
1.2895,1.1144,154965.99044799805
1.2979,1.1053,270381.10275268555
1.322,1.1592,163215.58990478516
1.2816,1.1591,163808.12759399414
1.2813,1.2144,229132.6057434082
1.3301,1.1684,170284.8373413086
1.3339,1.1118,282775.14877319336
1.3203,1.2411,144452.05764770508
1.3398,1.2377,142776.02462768558
1.3299,1.1285,166778.2943725586
1.2859,1.1927,202179.5166015625
1.3062,1.1054,271082.4768066406
1.3115,1.1127,271082.4768066406
1.2902,1.2023,191181.64978027344
1.2909,1.2071,210736.35864257812
1.3222,1.2203,146293.28689575195
1.3448,1.2766,134873.43673706055
1.3462,1.1851,177840.15502929688
1.3235,1.1544,159266.22772216797
1.299,1.1429,151687.9409790039
1.3123,1.1415,150940.1107788086
1.3052,1.1829,162918.5028076172
1.296,1.162,157757.6202392578
1.3178,1.1357,150707.93075561523
1.2907,1.2528,188139.9040222168
1.3038,1.1697,155724.21493530273
1.33,1.2002,149951.0726928711
1.3324,1.2441,141038.14392089847
1.325,1.2691,135063.46435546875
1.3307,1.1262,165857.49588012695
1.3397,1.1219,157826.7105102539
1.3005,1.1242,148161.26251220703
1.3086,1.1638,155995.16525268555
1.331,1.1185,165857.49588012695
1.3461,1.1687,169337.4252319336
1.3257,1.271,136814.68353271484
1.2928,1.2258,186215.8447265625
1.2923,1.1508,156011.24114990234
1.3271,1.2513,138092.26760864258
1.3184,1.2544,145719.3878173828
1.2943,1.2439,185096.19827270508
1.3036,1.2584,171435.42709350586
1.2948,1.2332,203080.55572509766
1.3437,1.1039,157206.62384033203
1.2956,1.1699,157346.67053222656
1.3074,1.2707,178706.01959228516
1.3094,1.103,271082.4768066406
1.2903,1.1942,191039.13116455078
1.3223,1.1861,178834.44290161133
1.3104,1.2297,174241.91360473633
1.2895,1.1412,164412.32986450195
1.3138,1.2246,146269.00787353516
1.3463,1.1326,158516.3314819336
